Metric,Value
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,313
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,898
design__max_cap_violation__count__corner:max_ff_n40C_1v95,29
clock__skew__worst_hold__corner:max_ff_n40C_1v95,5.087771681296261
clock__skew__worst_setup__corner:max_ff_n40C_1v95,5.587771736807413
timing__hold__ws__corner:max_ff_n40C_1v95,2.0740476589892154
timing__setup__ws__corner:max_ff_n40C_1v95,14.117424961966533
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,2.074048
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,14.117425
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,282
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,282
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79876
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79996
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00124326
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.001368
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000361555
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.001368
design_powergrid__voltage__worst,0.001368
design_powergrid__voltage__worst__net:VPWR,1.79876
design_powergrid__drop__worst,0.001368
design_powergrid__drop__worst__net:VPWR,0.00124326
design_powergrid__voltage__worst__net:VGND,0.001368
design_powergrid__drop__worst__net:VGND,0.001368
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000035099999999999999364570790749695561316912062466144561767578125
ir__drop__worst,0.00123999999999999999979183318288278314867056906223297119140625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
