Metric,Value
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,1438
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,908
design__max_cap_violation__count__corner:max_ff_n40C_1v95,206
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.6519943658400353
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.5873903751876693
timing__hold__ws__corner:max_ff_n40C_1v95,1.9857165362950235
timing__setup__ws__corner:max_ff_n40C_1v95,11.961420636981597
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,1.985717
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,11.961421
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,221
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,221
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79965
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79998
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000354726
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000402954
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000249225
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000402954
design_powergrid__voltage__worst,0.000402954
design_powergrid__voltage__worst__net:VPWR,1.79965
design_powergrid__drop__worst,0.000402954
design_powergrid__drop__worst__net:VPWR,0.000354726
design_powergrid__voltage__worst__net:VGND,0.000402954
design_powergrid__drop__worst__net:VGND,0.000402954
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
